symbol,revenue_cagr,profit_cagr,revenue_growth_1y,roce,roe,profit_margins,opm,debt_to_equity,current_ratio,pe_ratio,price_to_book,promoter_holding,efficient,low_debt,strong_promoter,high_growth,profitable
BAJFINANCE,16.2,13.1,23.4,11.4,19.2,0.4368,,310.294,,28.2,166.0,55.91,0,0,1,1,1
DIXON,46.9,62.5,119.1,40.0,32.8,0.03254,4.0,29.663,,42.8,670.0,34.05,1,0,0,1,1
TITAN,14.2,0.9,18.4,19.1,31.8,0.06306,11.0,223.018,,74.5,144.0,52.9,1,0,1,0,1
ASTRAL,4.2,4.7,3.4,19.7,14.9,0.08162,16.0,6.769,,81.0,141.0,55.85,1,0,1,0,1
POLYCAB,16.5,16.7,24.0,29.7,21.4,0.09724,14.0,2.089,1.86,39.4,704.0,66.21,1,0,1,1,1
TATAELXSI,5.8,1.3,5.0,60.0,39.3,0.15675001,21.0,6.257,,259.0,45.5,43.92,1,0,0,0,1
VARUNBEV,,,,,,,,,,,,,0,0,0,0,0
DMART,11.5,4.4,16.8,18.0,13.4,0.0434,7.0,7.031,,99.1,352.0,74.93,1,0,1,0,1
PERSISTENT,12.7,15.0,21.6,30.4,24.1,0.12427,19.0,5.535,2.604,45.8,453.0,31.26,1,0,0,0,1
COFORGE,14.6,5.4,33.8,20.3,16.0,0.07888,17.0,10.888,,32.4,206.0,30.16,1,0,0,0,1
SUZLON,22.5,-10.1,68.1,32.5,41.4,0.21564,18.0,5.051,,17.2,5.78,14.5,1,0,0,1,1
RCOM,-9.2,,-6.5,,,0.0,-27.0,,,,-350.0,5.18,0,0,0,0,0
YESBANK,21.6,49.3,20.4,6.36,5.46,0.20492001,,,,17.7,16.0,20.19,0,0,0,1,1
JPASSOCIAT,-7.2,,-22.3,-2.03,,-0.34719002,-10.0,,,,-21.0,38.07,0,0,0,0,0
UNITECH,-9.0,,-36.9,-47.9,,0.0,110.0,,,,-30.6,5.14,0,0,0,0,0
VIDEOCON,,,,,,,,,,,,,0,0,0,0,0
DLFINDIA,,,,,,,,,,,,,0,0,0,0,0
GMRINFRA,,,,,,,,,,,,,0,0,0,0,0
IBULHSGFIN,,,,,,,,,,,,,0,0,0,0,0
PTC,0.7,26.4,-5.2,11.5,12.3,0.052010003,6.0,32.871,,7.86,197.0,16.22,0,0,0,0,1
KAYNES,34.2,45.5,50.8,14.3,10.7,0.115389995,16.0,18.899,,60.8,698.0,63.57,0,0,1,1,1
TDPOWERSYS,13.9,21.7,28.8,30.4,22.3,0.13596,18.0,3.717,,61.4,61.5,58.51,1,0,1,0,1
EPIGRAL,5.0,0.4,32.8,25.1,22.6,0.13971,24.0,25.565,,11.3,487.0,71.34,1,0,1,0,1
WAAREEENER,29.6,57.0,26.4,34.9,27.4,0.14819,24.0,25.128,,25.4,399.0,64.31,1,0,1,1,1
ZOMATO,,,,,,,,,,,,,0,0,0,0,0
RELIANCE,3.2,1.5,7.1,9.69,8.4,0.08122,17.0,35.651,,23.8,648.0,50.41,0,0,1,0,1
INFY,1.9,1.9,3.9,37.5,28.8,0.16153999,24.0,10.531,1.812,18.3,205.0,15.14,1,0,0,0,1
HDFCBANK,25.3,10.8,19.4,7.51,14.4,0.26187,,,,15.5,364.0,25.52,0,0,0,1,1
ASIANPAINT,-0.6,-3.7,-4.5,25.7,20.6,0.11098,18.0,17.609,,51.0,204.0,52.63,1,0,1,0,1
BAJAJFINSV,18.0,11.4,21.3,11.0,13.4,0.06583,37.0,237.537,,26.8,479.0,60.78,0,0,1,1,1
PIDILITIND,3.7,17.7,6.1,29.8,23.0,0.16188,23.0,4.539,,56.0,93.9,69.94,1,0,1,0,1
ABBOTINDIA,6.2,14.2,9.6,,,0.22333999,,4.549,,,,74.99,0,0,1,0,1
PAGEIND,1.6,8.5,8.0,,,0.14711,,19.029,,,,46.12,0,0,1,0,1
BERGEPAINT,3.2,11.2,3.2,24.9,20.3,0.08997,15.0,11.082,,43.9,53.9,75.0,1,0,1,0,1
RELAXO,0.3,3.3,-3.6,,,0.06342,,10.214,,,,71.25,0,0,1,0,1
AAVAS,13.6,10.1,18.3,9.91,13.9,0.42181,,307.971,,18.4,477.0,39.14,0,0,0,0,1
ALKYLAMINE,-2.2,-6.6,9.1,41.3,41.4,0.11769,26.0,,,35.6,105.0,71.98,1,0,1,0,1
LALPATHLAB,6.9,26.8,10.5,28.9,24.3,0.19840999,29.0,6.441,,40.6,143.0,55.03,1,0,1,0,1
METROPOLIS,5.1,0.5,10.2,14.7,11.5,0.10741,23.0,13.916,,50.0,69.1,49.75,0,0,1,0,1
DEEPAKNITR,,,,,,,,,,,,,0,0,0,0,0
FINPIPE,-2.0,47.2,-3.9,9.24,7.08,0.1265,13.0,0.359,,19.6,95.3,52.47,0,1,1,0,1
SAIL,-0.6,2.9,-2.7,6.76,4.54,0.025510002,10.0,57.763,,21.2,141.0,65.0,0,0,1,0,1
BHEL,7.3,-5.7,19.3,4.87,2.12,0.026730001,5.0,44.956,,106.0,70.1,63.17,0,0,1,0,1
IDEA,1.0,,2.1,-1.93,,-0.55325,42.0,,,,-7.61,50.36,0,0,1,0,0
STERLINBIO,,,,,,,,,,,,24.64,0,0,0,0,0
RPOWER,0.6,,-3.7,6.15,-1.08,0.03667,31.0,92.224,,33.1,39.9,24.99,0,0,0,0,1
DISHTV,-11.5,,-15.2,,,-0.71690005,13.0,,,,-18.8,4.04,0,0,0,0,0
HFCL,-5.0,-16.2,-9.0,7.55,4.42,0.013200001,10.0,41.391,,212.0,27.0,39.24,0,0,0,0,1
